session_id_encoded,trajectory,Churn
319124,[1],1
593809,"[1, 1, 1, 1, 1, 1, 1]",1
856932,"[2, 1]",1
766444,"[1, 2, 1, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 2, 1, 1, 2, 1, 1, 2, 1, 1, 1, 2, 1]",1
645902,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",1
151639,"[1, 2]",1
128002,"[1, 2]",1
137757,[1],1
273734,[1],1
699871,[1],1
398013,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1
117622,[1],1
517306,"[1, 1, 2, 1, 1, 2, 1, 2, 1, 1]",1
305296,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",1
233972,"[1, 1, 1, 1, 1, 2, 1, 2]",1
450671,"[1, 1]",1
1033979,"[1, 1, 1, 3, 1]",1
543364,"[2, 1]",1
468032,"[1, 2, 2, 1]",1
583655,"[1, 1, 1, 1, 4, 1, 4, 1, 1, 2, 1, 1]",1
908917,"[1, 1, 1, 2, 1, 1, 1]",1
1019573,"[1, 2]",1
844868,"[1, 1, 1, 2, 2, 1, 2, 1, 2, 1, 1]",1
803015,"[2, 1]",1
296696,[1],1
92996,"[1, 1]",1
139762,"[1, 1, 1, 1, 1, 1, 2]",1
819905,"[1, 2, 2, 1, 1, 2]",1
393834,"[1, 1, 1, 2, 1]",1
970653,[1],1
749964,"[2, 1]",1
964240,[1],1
743106,[1],1
284003,"[2, 1]",1
419736,"[1, 2]",1
228057,[1],1
78138,"[1, 2, 3, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1]",1
548050,"[1, 2, 1, 2]",1
697878,[1],1
7935,"[1, 1, 1, 1, 1, 2, 1, 1, 1]",1
829702,"[1, 2]",1
745286,[1],1
167634,"[2, 1, 2, 1]",1
968476,[1],1
1038662,"[1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 2, 1]",1
157066,"[2, 1, 1, 2, 2, 1, 2, 1]",1
1025919,[1],1
751802,"[1, 2, 1, 1, 2, 1]",1
180474,"[2, 1]",1
659251,"[1, 1]",1
404098,"[1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1]",1
772981,[1],1
203222,"[1, 2]",1
425264,"[1, 2]",1
383918,[1],1
671562,"[1, 1]",1
138145,"[1, 2, 2, 1]",1
